gruppe,team,p_sieg,p_platz2,p_quali
A,Mexiko,0.512,0.274,0.921
A,Südkorea,0.241,0.307,0.776
A,Tschechien,0.220,0.310,0.747
A,Südafrika,0.027,0.109,0.281
B,Schweiz,0.606,0.285,0.969
B,Kanada,0.307,0.419,0.900
B,Bosnien-Herzegowina,0.072,0.218,0.582
B,Katar,0.015,0.078,0.228
C,Brasilien,0.562,0.286,0.951
C,Marokko,0.327,0.396,0.885
C,Schottland,0.102,0.241,0.630
C,Haiti,0.009,0.077,0.220
D,Türkei,0.374,0.308,0.829
D,USA,0.325,0.294,0.794
D,Paraguay,0.165,0.209,0.567
D,Australien,0.136,0.189,0.543
E,Deutschland,0.548,0.330,0.976
E,Ecuador,0.312,0.383,0.897
E,Elfenbeinküste,0.130,0.257,0.712
E,Curaçao,0.010,0.030,0.120
F,Niederlande,0.542,0.280,0.935
F,Japan,0.287,0.339,0.821
F,Schweden,0.132,0.271,0.659
F,Tunesien,0.039,0.110,0.318
G,Belgien,0.717,0.190,0.966
G,Ägypten,0.130,0.326,0.676
G,Iran,0.096,0.320,0.640
G,Neuseeland,0.057,0.164,0.371
H,Spanien,0.795,0.186,0.996
H,Uruguay,0.181,0.603,0.896
H,Kap Verde,0.013,0.130,0.358
H,Saudi-Arabien,0.011,0.081,0.261
I,Frankreich,0.666,0.238,0.975
I,Norwegen,0.228,0.427,0.877
I,Senegal,0.100,0.298,0.720
I,Irak,0.006,0.037,0.127
J,Argentinien,0.712,0.205,0.987
J,Österreich,0.176,0.401,0.798
J,Algerien,0.091,0.304,0.673
J,Jordanien,0.021,0.090,0.214
K,Portugal,0.607,0.286,0.953
K,Kolumbien,0.325,0.448,0.892
K,Usbekistan,0.034,0.139,0.412
K,DR Kongo,0.034,0.127,0.342
L,England,0.648,0.274,0.980
L,Kroatien,0.306,0.472,0.909
L,Panama,0.028,0.156,0.449
L,Ghana,0.018,0.098,0.267
