team,p_titel_median,p_titel_5pct,p_titel_95pct
Spanien,0.1612,0.1418,0.1800
Frankreich,0.1524,0.1288,0.1728
Argentinien,0.1134,0.0980,0.1280
England,0.0768,0.0638,0.0932
Portugal,0.0712,0.0612,0.0806
Niederlande,0.0486,0.0422,0.0570
Deutschland,0.0466,0.0394,0.0578
Brasilien,0.0426,0.0294,0.0546
Belgien,0.0350,0.0294,0.0432
Norwegen,0.0292,0.0108,0.0526
Schweiz,0.0236,0.0152,0.0376
Kroatien,0.0224,0.0156,0.0362
Kolumbien,0.0220,0.0172,0.0286
Marokko,0.0204,0.0124,0.0314
Ecuador,0.0178,0.0106,0.0228
Mexiko,0.0160,0.0088,0.0242
Uruguay,0.0160,0.0100,0.0232
Tuerkei,0.0142,0.0122,0.0210
Japan,0.0142,0.0112,0.0198
USA,0.0112,0.0042,0.0192
Oesterreich,0.0082,0.0050,0.0126
Senegal,0.0070,0.0022,0.0136
Kanada,0.0058,0.0022,0.0116
Elfenbeinkueste,0.0032,0.0004,0.0070
Schweden,0.0032,0.0016,0.0062
Algerien,0.0028,0.0012,0.0046
Suedkorea,0.0024,0.0012,0.0040
Paraguay,0.0024,0.0012,0.0048
Tschechien,0.0022,0.0010,0.0046
Australien,0.0018,0.0006,0.0036
Schottland,0.0012,0.0004,0.0026
Aegypten,0.0012,0.0004,0.0024
Iran,0.0010,0.0002,0.0028
Bosnien-Herzegowina,0.0004,0.0000,0.0006
Usbekistan,0.0002,0.0000,0.0010
DR Kongo,0.0002,0.0000,0.0006
Panama,0.0002,0.0000,0.0008
Suedafrika,0.0000,0.0000,0.0000
Katar,0.0000,0.0000,0.0000
Haiti,0.0000,0.0000,0.0002
Curacao,0.0000,0.0000,0.0000
Tunesien,0.0000,0.0000,0.0004
Neuseeland,0.0000,0.0000,0.0002
Saudi-Arabien,0.0000,0.0000,0.0000
Kap Verde,0.0000,0.0000,0.0006
Irak,0.0000,0.0000,0.0002
Jordanien,0.0000,0.0000,0.0002
Ghana,0.0000,0.0000,0.0004
