team,staerke_score,p_titel,p_finale,p_halbfinale,p_achtelfinale
Spanien,1.188,0.1698,0.2608,0.3925,0.7307
Frankreich,1.121,0.1519,0.2434,0.3881,0.7689
Argentinien,1.026,0.1206,0.2029,0.3225,0.6462
England,0.839,0.0792,0.1530,0.2723,0.6927
Portugal,0.807,0.0689,0.1380,0.2437,0.6735
Deutschland,0.700,0.0483,0.0961,0.1922,0.6496
Niederlande,0.726,0.0478,0.0958,0.1921,0.5724
Brasilien,0.680,0.0442,0.0862,0.1781,0.5548
Belgien,0.580,0.0344,0.0817,0.1678,0.6400
Norwegen,0.530,0.0273,0.0649,0.1447,0.5232
Schweiz,0.447,0.0234,0.0588,0.1335,0.6249
Kolumbien,0.471,0.0215,0.0537,0.1176,0.5007
Kroatien,0.461,0.0215,0.0531,0.1202,0.5115
Marokko,0.442,0.0203,0.0484,0.1115,0.4530
Ecuador,0.368,0.0155,0.0372,0.0961,0.4728
Uruguay,0.363,0.0146,0.0403,0.0962,0.3856
Japan,0.376,0.0138,0.0369,0.0890,0.4124
Tuerkei,0.370,0.0137,0.0386,0.0920,0.4798
Mexiko,0.180,0.0136,0.0384,0.0985,0.5292
USA,0.129,0.0103,0.0285,0.0745,0.4460
Oesterreich,0.224,0.0073,0.0208,0.0559,0.2998
Senegal,0.169,0.0060,0.0213,0.0576,0.3370
Kanada,-0.080,0.0053,0.0178,0.0576,0.4596
Schweden,0.036,0.0033,0.0106,0.0329,0.2599
Elfenbeinkueste,-0.052,0.0026,0.0097,0.0312,0.2881
Suedkorea,-0.069,0.0024,0.0096,0.0365,0.3536
Algerien,-0.010,0.0024,0.0094,0.0288,0.2140
Paraguay,-0.051,0.0021,0.0086,0.0283,0.2597
Tschechien,-0.102,0.0021,0.0076,0.0291,0.3347
Australien,-0.126,0.0014,0.0060,0.0210,0.2268
Aegypten,-0.249,0.0012,0.0050,0.0203,0.2594
Schottland,-0.154,0.0011,0.0052,0.0192,0.1950
Iran,-0.333,0.0009,0.0039,0.0168,0.2264
Bosnien-Herzegowina,-0.525,0.0003,0.0013,0.0072,0.1862
DR Kongo,-0.580,0.0003,0.0011,0.0049,0.0810
Panama,-0.456,0.0001,0.0011,0.0057,0.1059
Tunesien,-0.540,0.0001,0.0008,0.0037,0.0731
Usbekistan,-0.450,0.0001,0.0013,0.0064,0.1064
Suedafrika,-0.894,0.0001,0.0003,0.0014,0.0578
Jordanien,-0.813,0.0001,0.0001,0.0010,0.0343
Ghana,-0.666,0.0001,0.0002,0.0022,0.0623
Neuseeland,-0.720,0.0001,0.0004,0.0028,0.0881
Kap Verde,-0.668,0.0001,0.0006,0.0032,0.0685
Katar,-1.081,0.0000,0.0000,0.0001,0.0326
Haiti,-0.869,0.0000,0.0003,0.0015,0.0359
Curacao,-1.057,0.0000,0.0000,0.0001,0.0190
Saudi-Arabien,-0.805,0.0000,0.0001,0.0007,0.0445
Irak,-0.883,0.0000,0.0000,0.0006,0.0225
